scenario,gridiv,analysis_hours,dry_heat_hours,humid_heat_hours,mean_t2_c,max_t2_c,mean_heat_index_c,max_heat_index_c,mean_rh_pct
present,1,1849,62,413,29.624218422811893,39.95791100731377,37.228848075723256,64.51923268287317,82.82628336488193
present,2,1849,26,377,29.450687235336975,38.62060875121205,36.63847030752542,60.171056247721985,82.82628336488193
present,3,1849,47,398,29.56509790692794,39.58699750649752,37.02708443204858,63.39850971796116,82.82628336488193
present,4,1849,42,414,29.587523591230443,37.9757378357772,37.10187857794095,60.47370149829002,82.82628336488193
present,5,1849,26,387,29.491517469936735,37.481978720219836,36.776704011504826,58.681715189788825,82.82628336488193
present,6,1849,5,297,29.261262112207206,36.25098101836818,36.01941427274658,53.1556957851749,82.82628336488193
present,7,1849,5,317,29.29264020652464,36.19543886258906,36.12415118320579,53.962507539504,82.82628336488193
present,8,1849,5,288,29.228755601287492,36.01501818391295,35.91832967666988,52.54170435167988,82.82628336488193
present,9,1849,22,369,29.440896623735014,37.29450690883285,36.61410871793413,58.29915089734344,82.82628336488193
present,10,1849,2,232,29.128310594707656,35.115940177075245,35.603003128767995,49.554926657691176,82.82628336488193
future,1,1849,260,1392,32.13273156066814,42.507263179254394,46.01458320998831,76.29586293444339,82.82628336488193
future,2,1849,205,1347,31.957183173376063,41.16140860989247,45.29726659381085,71.28466041278155,82.82628336488193
future,3,1849,243,1374,32.072967862732206,42.13377144942031,45.76963714936766,75.01153757058412,82.82628336488193
future,4,1849,249,1391,32.09174269034079,40.51676944574405,45.849240453047614,73.16428406101409,82.82628336488193
future,5,1849,217,1368,31.995078159117256,40.0160261989957,45.455105557455916,71.06685384842363,82.82628336488193
future,6,1849,129,1310,31.764080681879772,38.77430257262183,44.535468920965755,64.6178536347633,82.82628336488193
future,7,1849,149,1314,31.795364154764258,38.714027575224186,44.661872064876526,65.52526157460238,82.82628336488193
future,8,1849,120,1299,31.731664036338255,38.53221011592121,44.411891524586856,63.888070581419015,82.82628336488193
future,9,1849,212,1340,31.94494041093546,39.8187425797359,45.25860695708273,70.61946595834404,82.82628336488193
future,10,1849,77,1281,31.630603093861083,37.62889409537312,44.025249505984775,60.333374672457325,82.82628336488193
